Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
12/22/2018,AQS,170310001,1,9.6,ug/m3 LC,40,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
12/28/2018,AQS,170310001,1,3.5,ug/m3 LC,15,VILLAGE GARAGE,1,100.0000,88101,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/01/2018,AQS,170310001,3,6.8,ug/m3 LC,28,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/02/2018,AQS,170310001,3,11.2,ug/m3 LC,47,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/03/2018,AQS,170310001,3,9.7,ug/m3 LC,40,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/05/2018,AQS,170310001,3,7.1,ug/m3 LC,30,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/06/2018,AQS,170310001,3,8.7,ug/m3 LC,36,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/07/2018,AQS,170310001,3,8.4,ug/m3 LC,35,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/08/2018,AQS,170310001,3,13.8,ug/m3 LC,55,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/09/2018,AQS,170310001,3,18.6,ug/m3 LC,65,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/10/2018,AQS,170310001,3,9.1,ug/m3 LC,38,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/11/2018,AQS,170310001,3,4.7,ug/m3 LC,20,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/12/2018,AQS,170310001,3,7.1,ug/m3 LC,30,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/13/2018,AQS,170310001,3,5.8,ug/m3 LC,24,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/14/2018,AQS,170310001,3,7.8,ug/m3 LC,33,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/15/2018,AQS,170310001,3,9.1,ug/m3 LC,38,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/16/2018,AQS,170310001,3,8.7,ug/m3 LC,36,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/17/2018,AQS,170310001,3,10,ug/m3 LC,42,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/18/2018,AQS,170310001,3,12,ug/m3 LC,50,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/19/2018,AQS,170310001,3,10.6,ug/m3 LC,44,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/20/2018,AQS,170310001,3,11,ug/m3 LC,46,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/21/2018,AQS,170310001,3,12.2,ug/m3 LC,51,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/23/2018,AQS,170310001,3,4,ug/m3 LC,17,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/24/2018,AQS,170310001,3,5.4,ug/m3 LC,23,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/25/2018,AQS,170310001,3,11.4,ug/m3 LC,48,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/26/2018,AQS,170310001,3,6.4,ug/m3 LC,27,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/27/2018,AQS,170310001,3,7.1,ug/m3 LC,30,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/28/2018,AQS,170310001,3,9.6,ug/m3 LC,40,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/29/2018,AQS,170310001,3,3.9,ug/m3 LC,16,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/30/2018,AQS,170310001,3,5.1,ug/m3 LC,21,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
01/31/2018,AQS,170310001,3,6.5,ug/m3 LC,27,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/01/2018,AQS,170310001,3,6.2,ug/m3 LC,26,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/02/2018,AQS,170310001,3,3.3,ug/m3 LC,14,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/03/2018,AQS,170310001,3,2.1,ug/m3 LC,9,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/04/2018,AQS,170310001,3,5,ug/m3 LC,21,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/05/2018,AQS,170310001,3,5.5,ug/m3 LC,23,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/06/2018,AQS,170310001,3,16.3,ug/m3 LC,60,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/07/2018,AQS,170310001,3,15.5,ug/m3 LC,58,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/08/2018,AQS,170310001,3,15.4,ug/m3 LC,58,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/09/2018,AQS,170310001,3,14.9,ug/m3 LC,57,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/10/2018,AQS,170310001,3,8,ug/m3 LC,33,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/11/2018,AQS,170310001,3,8.2,ug/m3 LC,34,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/12/2018,AQS,170310001,3,12.8,ug/m3 LC,52,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/13/2018,AQS,170310001,3,16.8,ug/m3 LC,61,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
02/14/2018,AQS,170310001,3,17.8,ug/m3 LC,63,VILLAGE GARAGE,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,41.6709918952829,-87.7324568962847
